x,Horizontal Ground Forces,Vertical Ground Forces
0.004,1.13687e-13,1.13687e-13
0.005,1.13687e-13,1.13687e-13
0.0977,1.13687e-13,1.13687e-13
0.0995,1.13687e-13,1.13687e-13
0.1012,-1.4,1.13687e-13
0.1012,-1.4,0.03
0.1019,1.13687e-13,3.9
0.1051,1.13687e-13,20.2
0.1051,1.13687e-13,13.7
0.1062,1.13687e-13,29.2
0.1072,-11.6,44.6
0.1073,-30.3,45.7
0.1084,1.13687e-13,62.3
0.1098,-21.7,83.1
0.1113,-44.8,122.7
0.1113,-57.8,124.1
0.1154,-72.3,230.5
0.1154,-80.9,231.4
0.1174,-89.6,284.8
0.1215,-87.1,391.6
0.1234,-86,409.8
0.1283,-76.6,456.9
0.1301,-72,474
0.1322,-66.5,470
0.1342,-70.8,466.2
0.1351,-71.7,464.6
0.1371,-73.9,451.6
0.1382,-75.1,448.9
0.1402,-80.9,444.1
0.1431,-83.7,437.1
0.1432,-83.8,437
0.1471,-79.5,430.6
0.1471,-79.5,430.6
0.152,-66.5,431.5
0.1521,-75.1,431.5
0.155,-60,432.1
0.155,-59.9,432.1
0.1579,-49.1,442.1
0.158,-49,442.2
0.1629,-36.4,450.9
0.1638,-34,451.4
0.1669,-23.3,453
0.1677,-20.2,451.9
0.1707,-10.1,448.1
0.1718,-5.8,446.5
0.1736,0.7,441
0.1736,-5.8,440.9
0.1746,1.13687e-13,437.9
0.1746,-2.9,437.9
0.1749,-1.1,437.1
0.1756,4.3,433.8
0.1775,12.3,425
0.1776,1.13687e-13,424.7
0.1795,21.7,416.1
0.186,38.1,386.6
0.1883,44.1,369
0.1931,56,333.1
0.1991,70.8,275.3
0.206,79.5,208.6
0.212,66.5,150.8
0.216,55.6,112.1
0.2181,41.2,92.4
0.2189,39.6,84.5
0.2251,27.5,45.1
0.2271,13,32
0.2309,1.13687e-13,7.9
0.2321,-1.4,1.13687e-13
0.2321,-1.4,-3.69597e-05
0.2329,1.13687e-13,-0.00479552
0.2346,1.13687e-13,-0.02
0.2386,1.13687e-13,-0.04
0.3378,1.13687e-13,-0.7
0.3428,1.13687e-13,-0.7
0.3442,-2.2,-0.7
0.3443,-2.2,-0.7
0.3463,-12.3,24.2
0.348,1.13687e-13,44.9
0.3493,-26.7,61.5
0.3523,-40.5,98.7
0.3544,-52,123.7
0.3556,-57.3,138.7
0.3574,-65,160.6
0.3604,-72.3,197
0.3634,-66.5,232.8
0.3673,-57.8,280.6
0.3726,-47.7,345.4
0.3742,-44.8,352.8
0.3811,-34,385.8
0.3814,-33.3,387.3
0.387,-21,406.4
0.3889,-10.8,413
0.3892,-9.5,414
0.3899,-6.5,414.1
0.3919,1.13687e-13,414.4
0.3919,-1.4,414.4
0.3919,-2.9,414.4
0.3928,2.9,414.5
0.3938,0.7,414.7
0.3942,0.4,414.7
0.3946,1.13687e-13,414.2
0.3948,7.2,413.9
0.3992,19,408.2
0.4007,23.1,404.9
0.4042,34.2,397.4
0.4062,40.8,382.9
0.4066,41.9,381.1
0.4093,49.2,367.8
0.4134,60.7,328.4
0.4184,74.4,282.4
0.4227,77.1,242.1
0.4253,78.8,217.4
0.4303,73.7,170.7
0.4362,65,114.5
0.4391,58.4,87.4
0.4423,51.3,65.5
0.4453,37.6,44.2
0.4473,26,30
0.4514,14.3,1.4
0.4523,11.6,1.4
0.4534,1.13687e-13,1.4
0.4544,-0.2,1.4
0.4571,1.13687e-13,1.4
0.5506,1.13687e-13,1.4
0.5526,1.13687e-13,1.4
0.5536,1.13687e-13,9.3
0.5536,-7.9,9.6
0.5545,-4.7,16.6
0.5558,1.13687e-13,26.9
0.5564,-4.3,31.8
0.5586,-19.5,70.5
0.5607,-39,107
0.5637,-62.1,161.3
0.5638,-74.4,162.2
0.5678,-86.7,233.3
0.5694,-89,261.6
0.5708,-91,280.5
0.5767,-82.4,360.8
0.5779,-79,376.4
0.5817,-67.8,422
0.5826,-65,424.8
0.5885,-62,442.9
0.5915,-60.5,453.8
0.5925,-60,454
0.5974,-57.4,455.2
0.6034,-54.3,449.4
0.6064,-52.7,448
0.6093,-44.6,446.5
0.6132,-34,446.1
0.6153,-27,445.8
0.6203,-10.3,444.4
0.622,-4.3,440.2
0.6221,-11.6,440.1
0.623,1.13687e-13,437.9
0.624,2.2,435.6
0.624,1.13687e-13,435.6
0.6243,1.5,435
0.625,5.8,433.2
0.6257,1.13687e-13,431.3
0.6279,23.1,426.1
0.6293,27.1,422.7
0.6303,30.1,411.1
0.6333,38.8,396
0.6377,51.3,370.1
0.6415,63.7,347.5
0.6445,73.7,310
0.6446,73.8,309.2
0.6477,77.5,278.2
0.6524,83.1,236.8
0.6528,82.5,233.4
0.6574,75.9,189.6
0.6615,62.1,151.3
0.6632,57.3,135.1
0.6675,44.8,80.1
0.6684,41.7,68.6
0.6725,27.5,47.1
0.6765,18.1,26.2
0.6795,7.9,10.5
0.6815,0.7,0.01
0.6815,0.7,1.13687e-13
0.6825,1.13687e-13,0.00681663
0.684,1.13687e-13,0.02
0.6865,1.13687e-13,0.03
0.7847,1.13687e-13,0.7
0.7867,1.4,0.7
0.7867,0.7,0.7
0.7868,-12.3,1.1
0.7875,1.13687e-13,6
0.7898,-26,22.7
0.7906,-30.7,28.2
0.7918,-38.3,41.7
0.7938,-47,63.3
0.7939,-55.6,63.7
0.7969,-64.3,96
0.7972,-65,99.7
0.7998,-70.1,195.8
0.8009,-72.3,208
0.8029,-76.6,230.8
0.8065,-72.7,271.7
0.8092,-69.6,329.5
0.8108,-67.9,341.1
0.815,-60.7,372.1
0.8167,-57.8,383.9
0.8198,-55.8,405.3
0.8227,-53.9,424.1
0.8256,-52,430.1
0.8286,-43.9,436.4
0.8315,-36.1,437.5
0.8344,-21.7,438.5
0.8366,-16.2,439.3
0.8403,-6.5,436.1
0.8413,1.13687e-13,435.3
0.8425,1.13687e-13,434.2
0.8433,1.13687e-13,433.5
0.8437,1.13687e-13,432.9
0.8485,15.5,427.7
0.8505,22.1,414.7
0.8531,30.3,405.7
0.8546,36.2,400.3
0.8599,57.1,372.4
0.8606,59,368.5
0.8658,72.6,322.3
0.8668,75.1,312.2
0.873,83.3,247.8
0.8756,86.7,211.5
0.8814,78.3,131.5
0.8816,78,129.8
0.8857,64.3,96.9
0.8865,61.1,89.6
0.8896,50,62.1
0.8897,49.9,61.9
0.8927,36.8,48.8
0.8957,23.1,35.6
0.9007,14.5,13.9
0.9018,7.2,9.5
0.9023,1.13687e-13,7.2
0.9038,1.13687e-13,0.7
0.904,1.13687e-13,0.7
0.9048,2.2,0.7
0.9048,-0.7,0.7
0.9053,1.13687e-13,0.7
0.9978,1.13687e-13,0.02
1.001,-1.4,1.13687e-13
1.001,-1.4,1.13687e-13
